rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link,
404,PVH,"$7,132.6",-28%,"$-1,136.1",-372.30%,"$13,293.5","$7,522.7",-82,"26,500",-82,9,View More details about PVH
405,Asbury Automotive Group,"$7,131.8",-1.10%,$254.4,38%,"$3,676.3","$3,798.1",23,"7,750",23,399,View More details about Asbury Automotive Group
406,Seaboard,"$7,126",4.20%,$283,-,"$6,399","$4,283.3",38,"13,100",38,-,View More details about Seaboard
407,Polaris,"$7,108.3",3.60%,$124.8,-61.50%,"$4,632.7","$8,179.3",35,"15,000",35,250,View More details about Polaris
408,Dana,"$7,106",-17.60%,$-31,-113.70%,"$7,376","$3,529.4",-41,"38,200",-41,382,View More details about Dana
409,First American Financial,"$7,086.7",14.30%,$696.4,-1.60%,"$12,796","$6,216.5",67,"19,597",67,151,View More details about First American Financial
410,Cintas,"$7,085.1",2.80%,$876,-1%,"$7,669.9","$35,850.9",31,"40,000",31,343,View More details about Cintas
411,Toll Brothers,"$7,077.7",-2%,$446.6,-24.30%,"$11,065.7","$6,984.8",15,"4,500",15,343,View More details about Toll Brothers
412,Science Applications International,"$7,056",10.60%,$209,-7.50%,"$5,723","$4,853.8",54,"26,134",54,226,View More details about Science Applications International
413,Owens Corning,"$7,055",-1.50%,$-383,-194.60%,"$9,481","$9,662.7",18,"19,000",18,65,View More details about Owens Corning
414,Zimmer Biomet Holdings,"$7,024.5",-12%,$-138.9,-112.30%,"$24,417.7","$33,347.3",-15,"20,000",-15,454,View More details about Zimmer Biomet Holdings
415,Xerox Holdings,"$7,022",-23.20%,$192,-85.80%,"$14,741","$4,821.3",-68,"24,700",-68,-,View More details about Xerox Holdings
416,Arthur J. Gallagher,"$7,003.6",-2.70%,$818.8,22.40%,"$22,331.4","$24,353.4",13,"32,401",13,200,View More details about Arthur J. Gallagher
417,Avery Dennison,"$6,971.5",-1.40%,$555.9,83.10%,"$6,083.9","$15,246.5",18,"32,000",18,134,View More details about Avery Dennison
418,Sanmina,"$6,960.4",-15.50%,$139.7,-1.30%,"$3,772.7","$2,686.7",-33,"33,500",-33,342,View More details about Sanmina
419,Jefferies Financial Group,"$6,955.9",29.80%,$775.2,-19.60%,"$53,118.4","$7,524.6",101,"4,945",-,394,View More details about Jefferies Financial Group
