rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link,
205,Fiserv,"$14,852",45.80%,$958,7.30%,"$74,619","$79,692.5",106,"44,000",106,343,View More details about Fiserv
206,Principal Financial,"$14,741.7",-9.10%,"$1,395.8",0.10%,"$296,627.7","$16,345.9",-5,"17,400",-5,121,View More details about Principal Financial
207,Reinsurance Group of America,"$14,596",2.10%,$415,-52.30%,"$84,656","$8,568",18,"3,600",18,231,View More details about Reinsurance Group of America
208,Automatic Data Processing,"$14,589.8",2.90%,"$2,466.5",7.60%,"$39,165.5","$80,653.9",19,"58,000",19,131,View More details about Automatic Data Processing
209,Stanley Black & Decker,"$14,534.6",0.60%,"$1,233.8",29.10%,"$23,566.3","$32,152.4",11,"58,350",11,296,View More details about Stanley Black & Decker
210,Texas Instruments,"$14,461",0.50%,"$5,595",11.50%,"$19,351","$174,439.3",12,"30,000",12,138,View More details about Texas Instruments
211,Halliburton,"$14,445",-35.50%,"$-2,945",-,"$20,680","$19,070.1",-69,"40,000",-69,248,View More details about Halliburton
212,Stryker,"$14,351",-3.60%,"$1,599",-23.20%,"$34,330","$91,665.1",2,"43,000",2,256,View More details about Stryker
213,Estée Lauder,"$14,294",-3.80%,$684,-61.70%,"$17,781","$105,508.6",2,"48,000",2,21,View More details about Estée Lauder
214,Corteva,"$14,217",2.70%,$681,-,"$42,649","$34,528.5",20,"21,000",20,343,View More details about Corteva
215,Freeport-McMoRan,"$14,198",-1.40%,$599,-,"$42,144","$48,027.8",6,"24,500",6,302,View More details about Freeport-McMoRan
216,QVC Group,"$14,177",5.30%,"$1,204",-,"$16,999","$4,880.5",23,"26,424",23,-,View More details about QVC Group
217,Wayfair,"$14,145.2",55%,$185,-,"$4,569.9","$32,644.7",131,"16,122",131,399,View More details about Wayfair
218,Labcorp Holdings,"$13,978.5",21%,"$1,556.1",88.90%,"$20,071.7","$24,890.9",56,"68,780",56,343,View More details about Labcorp Holdings
219,Land O'Lakes,"$13,948.9",0.40%,$264.9,28.70%,"$9,186",-,13,"9,000",13,-,View More details about Land O'Lakes
220,PPG Industries,"$13,834",-8.70%,"$1,059",-14.80%,"$19,556","$35,603.6",-11,"46,900",-11,341,View More details about PPG Industries
221,Gap,"$13,800",-15.80%,$-665,-289.50%,"$13,769","$11,164.9",-22,"117,000",-22,4,View More details about Gap
222,Kellanova,"$13,770",1.40%,"$1,251",30.30%,"$17,996","$21,544.5",15,"31,000",15,268,View More details about Kellanova
223,Parker-Hannifin,"$13,695.5",-4.40%,"$1,206.3",-20.20%,"$19,738.2","$40,716.1",1,"50,520",1,399,View More details about Parker-Hannifin
224,Core-Mark Holding,"$13,617.1",2.20%,$63.2,9.50%,"$1,954.7","$1,747.3",16,"7,534",16,399,View More details about Core-Mark Holding
225,Jacobs Solutions,"$13,578.2",-12.20%,$491.8,-42%,"$12,354.4","$16,816.2",-19,"53,500",-19,199,View More details about Jacobs Solutions
226,Edison International,"$13,578",10%,$739,-42.40%,"$69,372","$22,229.3",33,"13,209",33,38,View More details about Edison International
227,Guardian Life Ins. Co. of America,"$13,561.5",0.60%,$23.5,-96.50%,"$85,424.7",-,11,"8,871",11,-,View More details about Guardian Life Ins. Co. of America
228,Biogen,"$13,444.6",-6.50%,"$4,000.6",-32.10%,"$24,618.9","$42,615.9",-5,"9,100",-5,5,View More details about Biogen
229,Omnicom Group,"$13,171.1",-11.90%,$945.4,-29.40%,"$27,647.2","$15,946.2",-18,"64,100",-18,53,View More details about Omnicom Group
230,Unum Group,"$13,162.1",9.70%,$793,-27.90%,"$70,625.8","$5,669.8",36,"10,500",36,149,View More details about Unum Group
231,Lithia Motors,"$13,124.3",3.60%,$470.3,73.20%,"$7,902.1","$10,467",21,"14,538",21,285,View More details about Lithia Motors
232,American Family Insurance Group,"$13,074.5",3.50%,$403.2,-11.60%,"$33,941.8",-,22,"13,225",22,-,View More details about American Family Insurance Group
233,Discover,"$12,953",-7.40%,"$1,141",-61.40%,"$112,889","$29,099.7",-2,"17,600",-2,24,View More details about Discover
234,Adobe,"$12,868",15.20%,"$5,260",78.20%,"$24,284","$227,226.9",51,"22,516",51,73,View More details about Adobe
235,Aramark,"$12,829.6",-20.90%,$-461.5,-202.90%,"$15,712.7","$9,595.3",-35,"209,325",-35,314,View More details about Aramark
236,Otis Worldwide,"$12,756",-,$906,-,"$10,710","$29,418.4",-,"69,000",-,140,View More details about Otis Worldwide
237,Ecolab,"$12,748.7",-14.50%,"$-1,205.1",-177.30%,"$18,126","$61,240.7",-24,"44,000",-24,147,View More details about Ecolab
238,AutoZone,"$12,632",6.50%,"$1,733",7.20%,"$14,423.9","$30,946.3",30,"80,000",30,90,View More details about AutoZone
239,Loews,"$12,583",-15.70%,$-931,-199.90%,"$80,236","$13,698.3",-27,"12,200",-27,399,View More details about Loews
240,Illinois Tool Works,"$12,574",-10.90%,"$2,109",-16.30%,"$15,612","$70,106.7",-11,"43,000",-11,107,View More details about Illinois Tool Works
241,Fidelity National Information (FIS),"$12,552",21.50%,$158,-47%,"$83,842","$87,336.9",62,"62,000",62,229,View More details about Fidelity National Information (FIS)
242,Ross Stores,"$12,531.6",-21.90%,$85.4,-94.90%,"$12,717.9","$42,750.7",-40,"93,700",-40,273,View More details about Ross Stores
243,Peter Kiewit Sons',"$12,463",21.20%,$826,97.10%,"$6,440",-,64,"27,000",64,-,View More details about Peter Kiewit Sons'
244,Equitable Holdings,"$12,415",29.40%,$-648,-,"$275,397","$14,207.5",89,"12,400",89,94,View More details about Equitable Holdings
245,WESCO International,"$12,326",47.50%,$100.6,-55%,"$11,880.2","$4,340.5",134,"18,000",134,322,View More details about WESCO International
246,Goodyear Tire & Rubber,"$12,321",-16.40%,"$-1,254",-,"$16,506","$4,099.1",-30,"62,000",-30,343,View More details about Goodyear Tire & Rubber
247,Fox,"$12,303",8%,$999,-37.40%,"$21,750","$21,022.2",33,"9,000",33,102,View More details about Fox
248,Leidos Holdings,"$12,297",10.80%,$628,-5.80%,"$12,511","$13,608.8",41,"39,000",41,280,View More details about Leidos Holdings
249,Consolidated Edison,"$12,246",-2.60%,"$1,101",-18%,"$62,895","$25,613",7,"14,071",7,70,View More details about Consolidated Edison
250,DTE Energy,"$12,177",-3.90%,"$1,368",17%,"$45,496","$25,792.8",3,"10,600",3,154,View More details about DTE Energy
251,Charles Schwab,"$12,109",2.70%,"$3,299",-10.90%,"$549,009","$122,691.2",20,"32,000",20,218,View More details about Charles Schwab
252,State Street,"$12,078",-8%,"$2,420",7.90%,"$314,706","$29,553.6",-8,"39,439",-8,30,View More details about State Street
253,Ameriprise Financial,"$11,958",-8.70%,"$1,534",-19%,"$165,883","$27,103.5",-8,"12,300",-8,275,View More details about Ameriprise Financial
254,Viatris,"$11,946",-,$-669.9,-,"$61,553","$16,862.9",-,"45,000",-,167,View More details about Viatris
255,Sempra,"$11,940",-4%,"$3,932",79%,"$66,623","$40,132.8",3,"14,706",3,43,View More details about Sempra
256,Farmers Insurance Exchange,"$11,869.7",-5.70%,$-116.4,-310.50%,"$17,853.3",-,-1,"10,004",-1,-,View More details about Farmers Insurance Exchange
257,Bath & Body Works,"$11,846.9",-8.30%,$844.5,-,"$11,571","$17,247.5",-9,"57,350",-9,307,View More details about Bath & Body Works
258,W.W. Grainger,"$11,797",2.70%,$695,-18.10%,"$6,295","$20,985.1",20,"22,450",20,74,View More details about W.W. Grainger
259,Community Health Systems,"$11,789",-10.80%,$511,-,"$16,006","$1,752.4",-18,"62,500",-18,288,View More details about Community Health Systems
260,Ball,"$11,781",2.70%,$585,3.40%,"$18,252","$27,800.5",19,"21,500",19,225,View More details about Ball
261,Berry Global Group,"$11,709",31.90%,$559,38.40%,"$16,701","$8,221.1",97,"47,000",97,300,View More details about Berry Global Group
262,Kinder Morgan,"$11,700",-11.40%,$119,-94.60%,"$71,973","$37,703.1",-20,"10,524",-20,271,View More details about Kinder Morgan
263,VF,"$11,688.1",-15.70%,$679.4,-46.10%,"$11,133.3","$31,305.8",-30,"48,000",-30,50,View More details about VF
264,Baxter International,"$11,673",2.70%,"$1,102",10.10%,"$20,019","$42,656.8",18,"50,000",18,40,View More details about Baxter International
265,Textron,"$11,651",-14.50%,$309,-62.10%,"$15,443","$12,726",-29,"33,000",-29,159,View More details about Textron
266,LKQ,"$11,628.8",-7%,$638.4,18%,"$12,360.5","$12,801.2",-9,"44,000",-9,392,View More details about LKQ
267,Keurig Dr Pepper,"$11,618",4.50%,"$1,325",5.70%,"$49,779","$48,367.8",21,"27,000",21,335,View More details about Keurig Dr Pepper
268,O'Reilly Automotive,"$11,604.5",14.30%,"$1,752.3",26%,"$11,596.6","$35,460.8",46,"70,179",46,399,View More details about O'Reilly Automotive
269,Crown Holdings,"$11,575",-0.80%,$579,13.50%,"$16,670","$13,091.9",3,"33,264",3,393,View More details about Crown Holdings
270,Universal Health Services,"$11,558.9",1.60%,$944,15.80%,"$13,476.9","$11,350.6",11,"78,550",11,399,View More details about Universal Health Services
271,DaVita,"$11,550.6",-18.10%,$773.6,-4.60%,"$16,988.5","$11,790",-41,"67,000",-41,135,View More details about DaVita
272,Xcel Energy,"$11,526",-,"$1,473",7.40%,"$53,957","$35,759",4,"11,367",4,219,View More details about Xcel Energy
273,Newmont,"$11,497",18%,"$2,829",0.90%,"$41,369","$48,282.7",55,"14,300",55,277,View More details about Newmont
274,Vistra,"$11,443",-3.10%,$636,-31.50%,"$25,208","$8,512",-4,"5,365",-4,224,View More details about Vistra
275,IQVIA Holdings,"$11,359",2.40%,$279,46.10%,"$24,564","$37,034.4",15,"70,000",15,254,View More details about IQVIA Holdings
276,Ebay,"$11,351",5.10%,"$5,667",217.30%,"$19,310","$41,670.5",19,"12,700",19,113,View More details about Ebay
277,Corning,"$11,303",-1.70%,$512,-46.70%,"$30,775","$33,466.3",-,"50,110",-,249,View More details about Corning
278,Quanta Services,"$11,202.7",-7.50%,$445.6,10.80%,"$8,398.3","$12,173.4",-17,"35,800",-17,399,View More details about Quanta Services
279,HF Sinclair,"$11,183.6",-36%,$-601.4,-177.90%,"$11,506.9","$5,811.2",-95,"3,891",-95,399,View More details about HF Sinclair
280,Bed Bath & Beyond,"$11,158.6",-7.20%,$-613.8,-,"$7,790.5","$3,533.4",-15,"55,000",-15,364,View More details about Bed Bath & Beyond
281,Uber Technologies,"$11,139",-21.30%,"$-6,768",-,"$33,252","$101,438",-53,"22,800",-53,37,View More details about Uber Technologies
282,Mutual of Omaha,"$11,098.4",6.10%,$698.1,157.20%,"$47,294",-,18,"5,526",18,-,View More details about Mutual of Omaha
283,Conagra Brands,"$11,054.4",15.90%,$840.1,23.90%,"$22,304","$18,370.6",51,"16,500",51,289,View More details about Conagra Brands
284,PulteGroup,"$11,036.1",8.10%,"$1,406.8",38.40%,"$12,205.5","$13,869.1",25,"5,249",25,399,View More details about PulteGroup
285,EOG Resources,"$11,032",-36.50%,$-604.6,-122.10%,"$35,804.6","$42,331.9",-99,"2,900",-99,324,View More details about EOG Resources
286,Group 1 Automotive,"$10,851.8",-9.90%,$286.5,64.70%,"$5,089.4","$2,855.3",-22,"12,337",-22,399,View More details about Group 1 Automotive
287,Ally Financial,"$10,780",-7.20%,"$1,085",-36.70%,"$182,165","$16,875.6",-14,"9,500",-14,222,View More details about Ally Financial
288,Fidelity National Financial,"$10,778",27.30%,"$1,427",34.40%,"$50,455","$11,838.9",87,"27,058",87,318,View More details about Fidelity National Financial
289,Nordstrom,"$10,715",-31%,$-690,-239.10%,"$9,538","$5,974.8",-84,"62,000",-84,49,View More details about Nordstrom
290,Warner Bros. Discovery,"$10,671",-4.20%,"$1,219",-41.10%,"$34,087","$19,355.9",-3,"9,800",-3,317,View More details about Warner Bros. Discovery
291,Tractor Supply,"$10,620.4",27.20%,$749,33.20%,"$7,049.1","$20,576.8",89,"32,000",89,251,View More details about Tractor Supply
292,CSX,"$10,583",-11.30%,"$2,765",-17%,"$39,793","$73,230.6",-25,"19,282",-25,378,View More details about CSX
293,Marriott International,"$10,571",-49.60%,$-267,-121%,"$24,701","$48,220.2",-136,"121,000",-136,31,View More details about Marriott International
294,FirstEnergy,"$10,435",-3.80%,"$1,079",18.30%,"$44,464","$18,871.6",-,"12,153",-,379,View More details about FirstEnergy
295,BorgWarner,"$10,165",-,$500,-33%,"$16,029","$11,081",17,"49,700",17,295,View More details about BorgWarner
295,Jones Financial (Edward Jones),"$10,165",6.70%,"$1,285",17.70%,"$28,320",-,41,"50,000",41,293,View More details about Jones Financial (Edward Jones)
297,Republic Services,"$10,153.6",-1.40%,$967.2,-9.90%,"$23,434","$31,682.5",8,"35,000",8,304,View More details about Republic Services
298,Henry Schein,"$10,119.1",-1.80%,$403.8,-41.90%,"$7,772.5","$9,850.7",6,"19,000",6,298,View More details about Henry Schein
299,Expeditors Intl. of Washington,"$10,116.5",23.70%,$696.1,17.90%,"$4,927.5","$18,166.7",90,"17,480",90,399,View More details about Expeditors Intl. of Washington
300,Entergy,"$10,113.6",-7%,"$1,388.3",11.90%,"$58,239.2","$20,000.3",-7,"13,400",-7,371,View More details about Entergy
301,Advance Auto Parts,"$10,106.3",4.10%,$493,1.30%,"$11,839.6","$12,006.1",29,"54,000",29,338,View More details about Advance Auto Parts
302,Assurant,"$10,094.8",0.10%,$441.8,15.50%,"$44,649.9","$8,208.9",13,"13,850",13,97,View More details about Assurant
303,Pacific Life,"$10,062",-15.10%,$-671,-192.60%,"$190,672",-,-34,"4,083",-34,-,View More details about Pacific Life
304,Lam Research,"$10,044.7",4.10%,"$2,251.8",2.80%,"$14,559","$85,064.7",27,"11,300",27,227,View More details about Lam Research
305,Boston Scientific,"$9,913",-7.70%,$-82,-101.70%,"$30,777","$54,903",-9,"38,000",-9,59,View More details about Boston Scientific
306,Optimum Communications,"$9,894.6",1.40%,$436.2,213.90%,"$33,376.7","$15,393.7",21,"8,900",21,399,View More details about Optimum Communications
307,Norfolk Southern,"$9,789",-13.30%,"$2,013",-26%,"$37,962","$67,418",-24,"20,156",-24,234,View More details about Norfolk Southern
308,Sonic Automotive,"$9,767",-6.60%,$-51.4,-135.70%,"$3,746","$2,038",-7,"8,100",-7,454,View More details about Sonic Automotive
309,Advanced Micro Devices,"$9,763",45%,"$2,490",630.20%,"$8,962","$95,346.7",139,"12,600",139,313,View More details about Advanced Micro Devices
310,United States Steel,"$9,741",-24.70%,"$-1,165",-,"$12,059","$7,034",-63,"23,350",-63,343,View More details about United States Steel
311,Markel Group,"$9,735.1",2.20%,$816,-54.40%,"$41,710.1","$15,699.6",24,"18,900",24,343,View More details about Markel Group
312,ODP,"$9,710",-8.80%,$-319,-422.20%,"$5,558","$2,317.1",-15,"37,000",-15,340,View More details about ODP
313,AES,"$9,660",-5.20%,$46,-84.80%,"$34,603","$18,180.2",-3,"8,162",-3,284,View More details about AES
314,Molson Coors Beverage,"$9,654",-8.70%,$-949,-492.60%,"$27,331.1","$11,118.2",-16,"17,000",-16,282,View More details about Molson Coors Beverage
315,J.B. Hunt Transport Services,"$9,636.6",5.10%,$506,-2%,"$5,928.3","$17,765.8",31,"30,309",31,343,View More details about J.B. Hunt Transport Services
316,KKR,"$9,629.7",5.60%,"$2,002.5",-0.10%,"$79,806.5","$42,352.6",33,"1,583",33,-,View More details about KKR
317,Hormel Foods,"$9,608.5",1.20%,$908.1,-7.20%,"$9,908.3","$25,808.3",20,"19,100",20,92,View More details about Hormel Foods
