rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
158,Paccar,"$28,444.8",-15.50%,"$2,375.8",-42.90%,"$44,336.2","$60,783.4",-25,"25,900",-25,View More details about Paccar
159,Medline,"$28,432",11.50%,"$1,159",-3.40%,"$38,484","$58,459.4",-,"45,000",-,View More details about Medline
160,Applied Materials,"$28,368",4.40%,"$6,998",-2.50%,"$36,299","$271,247.9",-2,"36,500",-2,View More details about Applied Materials
160,Hartford Insurance Group,"$28,368",6.90%,"$3,836",23.30%,"$85,997","$37,305",2,"19,200",2,View More details about Hartford Insurance Group
162,CarMax,"$28,207.3",,$500.6,4.50%,"$27,404.2","$5,895.9",-11,"30,048",-11,View More details about CarMax
163,Southwest Airlines,"$28,063",2.10%,$441,-5.20%,"$29,061","$18,449.7",-7,"72,790",-7,View More details about Southwest Airlines
164,Baker Hughes,"$27,733",-0.40%,"$2,588",-13.10%,"$40,881","$60,546.8",-9,"56,000",-9,View More details about Baker Hughes
165,Charles Schwab,"$27,675",6.50%,"$8,852",49%,"$490,995","$168,129.6",-1,"33,000",-1,View More details about Charles Schwab
166,AutoNation,"$27,631.4",3.20%,$649.1,-6.20%,"$14,392.2","$6,702.4",-6,"24,800",-6,View More details about AutoNation
167,NextEra Energy,"$27,412",10.70%,"$6,835",-1.60%,"$212,721","$193,517.5",6,"17,400",6,View More details about NextEra Energy
168,Marsh & McLennan,"$26,981",10.30%,"$4,160",2.50%,"$58,710","$83,793",7,"95,000",7,View More details about Marsh & McLennan
169,Booking Holdings,"$26,917",13.40%,"$5,404",-8.10%,"$29,264","$133,354.9",13,"23,936",13,View More details about Booking Holdings
170,McDonald's,"$26,885",3.70%,"$8,563",4.10%,"$59,515","$220,784.8",-5,"150,000",-5,View More details about McDonald's
171,HF Sinclair,"$26,869",-6%,$579,227.10%,"$16,510","$11,247.2",-21,"5,165",-21,View More details about HF Sinclair
172,AIG,"$26,775",-1.80%,"$3,096",,"$161,254","$40,376.1",-15,"22,100",-15,View More details about AIG
173,Occidental Petroleum,"$26,446",-1.60%,"$2,326",-23.90%,"$84,186","$64,460.2",-14,"10,412",-14,View More details about Occidental Petroleum
174,Marriott International,"$26,186",4.30%,"$2,601",9.50%,"$27,540","$86,651.3",-3,"148,000",-3,View More details about Marriott International
175,Jones Lang LaSalle,"$26,115.6",11.50%,$792.1,44.90%,"$17,801.1","$14,257.8",13,"113,200",13,View More details about Jones Lang LaSalle
176,International Paper,"$26,104",40.20%,"$-3,516",-731.20%,"$37,964","$18,902.7",50,"62,602",50,View More details about International Paper
177,Freeport-McMoRan,"$25,915",1.80%,"$2,204",16.70%,"$58,167","$84,478.7",-8,"29,000",-8,View More details about Freeport-McMoRan
178,Constellation Energy,"$25,533",8.30%,"$2,319",-38.10%,"$57,249","$101,170.8",8,"15,315",8,View More details about Constellation Energy
179,Waste Management,"$25,204",14.20%,"$2,708",-1.40%,"$45,835","$92,585.5",18,"60,500",18,View More details about Waste Management
180,Live Nation Entertainment,"$25,201.4",8.80%,$496,-44.70%,"$22,912.5","$35,809.6",10,"26,200",10,View More details about Live Nation Entertainment
181,Stryker,"$25,116",11.20%,"$3,246",8.50%,"$47,844","$125,844.8",14,"56,000",14,View More details about Stryker
182,Dollar Tree,"$25,041.8",-18.80%,"$1,282.5",,"$13,466.2","$21,606.1",-43,"94,107",-43,View More details about Dollar Tree
183,3M,"$24,948",1.50%,"$3,250",-22.10%,"$37,733","$75,867.6",-9,"60,500",-9,View More details about 3M
184,Kraft Heinz,"$24,942",-3.50%,"$-5,846",-313.10%,"$81,786","$26,622.4",-18,"35,000",-18,View More details about Kraft Heinz
185,PG&E,"$24,935",2.10%,"$2,593",4.80%,"$141,611","$38,618.3",-9,"29,010",-9,View More details about PG&E
186,Danaher,"$24,568",2.90%,"$3,614",-7.30%,"$83,464","$134,179.8",-6,"59,000",-6,View More details about Danaher
187,Union Pacific,"$24,510",1.10%,"$7,138",5.80%,"$69,698","$144,038.2",-10,"29,287",-10,View More details about Union Pacific
188,Genuine Parts,"$24,300.1",3.50%,$66,-92.70%,"$20,795.5","$14,712.2",-1,"65,000",-1,View More details about Genuine Parts
189,Exelon,"$24,258",5.30%,"$2,768",12.50%,"$116,570","$50,156",3,"20,571",3,View More details about Exelon
190,BlackRock,"$24,216",18.70%,"$5,553",-12.80%,"$169,998","$149,585.9",20,"24,900",20,View More details about BlackRock
191,Block,"$24,193.7",0.30%,"$1,305.6",-54.90%,"$39,549.9","$36,053.6",-12,"10,205",-12,View More details about Block
192,Adobe,"$23,769",10.50%,"$7,130",28.20%,"$29,496","$98,252.9",9,"31,360",9,View More details about Adobe
193,Reinsurance Group of America,"$23,698",7.20%,"$1,182",64.90%,"$156,590","$13,385.4",3,"4,300",3,View More details about Reinsurance Group of America
194,Sherwin-Williams,"$23,574.3",2.10%,"$2,568.5",-4.20%,"$25,901.7","$79,292",-3,"64,249",-3,View More details about Sherwin-Williams
195,WESCO International,"$23,510.9",7.80%,$640.2,-10.80%,"$16,494.9","$13,314.9",4,"21,000",4,View More details about WESCO International
196,Lear,"$23,259.1",-0.20%,$436.8,-13.80%,"$14,843.1","$6,142.1",-7,"164,300",-7,View More details about Lear
197,Synchrony,"$23,121",-4.30%,"$3,552",1.50%,"$119,095","$23,643.5",-19,"20,000",-19,View More details about Synchrony
198,Amphenol,"$23,094.7",51.70%,"$4,270.3",76.20%,"$36,236.9","$155,311.3",89,"170,000",89,View More details about Amphenol
199,Ross Stores,"$22,750.6",7.70%,"$2,145",2.60%,"$15,548.7","$69,832.2",5,"111,000",5,View More details about Ross Stores
200,Newmont,"$22,669",21.30%,"$7,085",111.60%,"$57,121","$116,902.8",25,"17,500",25,View More details about Newmont
201,EOG Resources,"$22,632",-4.50%,"$4,980",-22.20%,"$51,799","$77,448.4",-18,"3,400",-18,View More details about EOG Resources
202,State Street,"$22,628",2.60%,"$2,945",9.60%,"$366,047","$35,275.8",-4,"51,503",-4,View More details about State Street
203,Macy's,"$22,621",-1.70%,$642,10.30%,"$16,238","$4,771.1",-10,"90,134",-10,View More details about Macy's
204,Group 1 Automotive,"$22,571.4",13.20%,$325.2,-34.70%,"$10,349.6","$3,925.4",10,"20,452",10,View More details about Group 1 Automotive
205,CDW,"$22,424.1",6.80%,"$1,066.6",-1%,"$16,028.2","$15,576.2",-,"14,800",-,View More details about CDW
206,Avnet,"$22,200.8",-6.60%,$240.2,-51.80%,"$12,118.6","$5,044.4",-25,"14,869",-25,View More details about Avnet
207,Halliburton,"$22,184",-3.30%,"$1,283",-48.70%,"$25,010","$32,562.8",-13,"46,000",-13,View More details about Halliburton
208,Super Micro Computer,"$21,972",46.60%,"$1,048.9",-9%,"$14,018.4","$13,673",84,"6,238",84,View More details about Super Micro Computer
209,American Electric Power,"$21,876",10.90%,"$3,580",20.70%,"$114,460","$71,250.3",9,"17,581",9,View More details about American Electric Power
210,L3Harris Technologies,"$21,865",2.50%,"$1,606",6.90%,"$41,195","$64,465.8",-7,"45,000",-7,View More details about L3Harris Technologies
211,Becton Dickinson,"$21,840",8.20%,"$1,678",-1.60%,"$55,325","$44,770",-,"72,000",-,View More details about Becton Dickinson
212,Carrier Global,"$21,747",-12.30%,"$1,484",-73.50%,"$37,190","$47,043.3",-40,"47,000",-40,View More details about Carrier Global
213,BJ's Wholesale Club,"$21,457.3",4.70%,$578.4,8.20%,"$7,510.5","$12,762.8",-6,"35,000",-6,View More details about BJ's Wholesale Club
214,Tenet Healthcare,"$21,310",3.10%,"$1,407",-56%,"$29,677","$16,410.8",-8,"87,615",-8,View More details about Tenet Healthcare
215,Fiserv,"$21,193",3.60%,"$3,480",11.20%,"$80,133","$29,840.6",-7,"38,000",-7,View More details about Fiserv
216,Cognizant Technology Solutions,"$21,108",7%,"$2,230",-0.50%,"$20,692","$29,340.5",1,"351,600",1,View More details about Cognizant Technology Solutions
217,GE HealthCare Technologies,"$20,625",4.80%,"$2,084",4.60%,"$36,906","$32,478.7",2,"54,000",2,View More details about GE HealthCare Technologies
218,Automatic Data Processing,"$20,560.9",7.10%,"$4,079.7",8.70%,"$53,369.3","$81,809.3",2,"67,000",2,View More details about Automatic Data Processing
219,Colgate-Palmolive,"$20,382",1.40%,"$2,132",-26.20%,"$16,330","$68,380.2",-7,"33,600",-7,View More details about Colgate-Palmolive
220,Carvana,"$20,322",48.60%,"$1,407",570%,"$13,201","$68,881.7",94,"23,100",94,View More details about Carvana
221,Altria Group,"$20,139",-1.50%,"$6,947",-38.30%,"$35,017","$110,328.6",-12,"5,900",-12,View More details about Altria Group
222,Boston Scientific,"$20,074",19.90%,"$2,898",56.40%,"$43,673","$93,257.5",26,"59,000",26,View More details about Boston Scientific
223,Cheniere Energy,"$19,976",27.20%,"$5,330",63.90%,"$47,882","$59,647.2",52,"1,717",52,View More details about Cheniere Energy
224,Parker-Hannifin,"$19,850",-0.40%,"$3,531",24.20%,"$29,494","$112,994.1",-9,"57,950",-9,View More details about Parker-Hannifin
225,Kimberly-Clark,"$19,701",-1.80%,"$2,021",-20.60%,"$17,098","$32,020.9",-12,"36,000",-12,View More details about Kimberly-Clark
226,American Family Insurance Group,"$19,556.8",-8.40%,"$3,179.7",28.30%,"$45,464.9",-,-24,"10,435",-24,View More details about American Family Insurance Group
227,General Mills,"$19,486.6",-1.90%,"$2,295.2",-8.10%,"$33,071.1","$19,863.6",-11,"33,000",-11,View More details about General Mills
228,Edison International,"$19,317",9.80%,"$4,459",247.30%,"$94,026","$28,167.4",7,"13,725",7,View More details about Edison International
229,AutoZone,"$18,938.7",2.40%,"$2,498.3",-6.20%,"$19,355.3","$55,655.1",-2,"104,000",-2,View More details about AutoZone
230,Ameriprise Financial,"$18,911",5.50%,"$3,563",4.80%,"$190,904","$40,302.5",-,"13,600",-,View More details about Ameriprise Financial
231,Intuit,"$18,831",15.60%,"$3,869",30.60%,"$36,958","$119,574.7",27,"24,350",27,View More details about Intuit
