year,company,company_alt_names,rank,CEO,CEO_alt_names,second_CEO,second_CEO_alt_names,third_CEO,third_CEO_alt_names,wiki_page_snapshot,wiki_page_live
2026,Xcel Energy,,306,Robert C. Frenzel,Robert Frenzel; Bob Frenzel,,,,,https://en.wikipedia.org/wiki/Xcel_Energy,https://en.wikipedia.org/wiki/Xcel_Energy
2026,FirstEnergy,,307,Brian X. Tierney,Brian Tierney,,,,,https://en.wikipedia.org/wiki/FirstEnergy,https://en.wikipedia.org/wiki/FirstEnergy
2026,Erie Insurance Group,,308,Timothy G. NeCastro,,,,,,https://en.wikipedia.org/wiki/Erie_Insurance_Group,https://en.wikipedia.org/wiki/Erie_Insurance_Group
2026,First Citizens BancShares,,309,Frank B. Holding Jr.,,,,,,https://en.wikipedia.org/wiki/First_Citizens_BancShares,https://en.wikipedia.org/wiki/First_Citizens_BancShares
2026,Blackstone,,310,Stephen Schwarzman,Stephen A. Schwarzman,,,,,https://en.wikipedia.org/wiki/Blackstone_Inc.,https://en.wikipedia.org/wiki/Blackstone_Inc.
2026,Fidelity National Financial,,311,Mike Nolan,,,,,,https://en.wikipedia.org/wiki/Fidelity_National_Financial,https://en.wikipedia.org/wiki/Fidelity_National_Financial
2026,Otis Worldwide,,312,Judy Marks,,,,,,https://en.wikipedia.org/wiki/Otis_Worldwide,https://en.wikipedia.org/wiki/Otis_Worldwide
2026,Amentum Holdings,,313,John Heller,,,,,,https://en.wikipedia.org/wiki/Amentum_Holdings,https://en.wikipedia.org/wiki/Amentum_Holdings
2026,Regeneron Pharmaceuticals,,314,Leonard Schleifer,Leonard S. Schleifer,,,,,https://en.wikipedia.org/wiki/Regeneron_Pharmaceuticals,https://en.wikipedia.org/wiki/Regeneron_Pharmaceuticals
2026,Estée Lauder,,315,Stéphane de La Faverie,,,,,,https://en.wikipedia.org/wiki/Est%C3%A9e_Lauder_Companies,https://en.wikipedia.org/wiki/Est%C3%A9e_Lauder_Companies
2026,BorgWarner,,316,Joseph F. Fadool,Joe F. Fadool; Joe Fadool,,,,,https://en.wikipedia.org/wiki/BorgWarner,https://en.wikipedia.org/wiki/BorgWarner
2026,Northern Trust,,317,Michael G. O'Grady,Michael O'Grady,,,,,https://en.wikipedia.org/wiki/Northern_Trust,https://en.wikipedia.org/wiki/Northern_Trust
2026,Viatris,,318,Scott A. Smith,Scott Smith,,,,,https://en.wikipedia.org/wiki/Viatris,https://en.wikipedia.org/wiki/Viatris
2026,MasTec,,319,Jose Mas,Jose R. Mas,,,,,https://en.wikipedia.org/wiki/MasTec,https://en.wikipedia.org/wiki/MasTec
2026,Reliance,Reliance Steel & Aluminum,320,Karla R. Lewis,Karla Lewis,,,,,"https://en.wikipedia.org/wiki/Reliance,_Inc.","https://en.wikipedia.org/wiki/Reliance,_Inc."
2026,Western & Southern Financial Group,,321,John F. Barrett,John Barrett,,,,,https://en.wikipedia.org/wiki/Western_%26_Southern_Financial_Group,https://en.wikipedia.org/wiki/Western_%26_Southern_Financial_Group
